artista_id,nombre_cancion_album,tipo_album_cancion,año_lanzamiento,género
1,"Flicking Your Switch",album,2022,Electrónica
4,Siena,album,2021,Electrónica
18,"The Daisy",album,2021,Electrónica
33,Impressions,album,2021,Electrónica
34,"Drone Me Up, Flashy - &ME Remix",single,2022,Electrónica
35,Atopos,album,2022,Electrónica
14,"Stay Awhile",album,2022,Electrónica
25,"Like Sweetness",album,2022,Electrónica
11,Beautiful,album,2021,Electrónica
36,Spectrum,album,2022,Electrónica
6,Rosewood,single,2021,Electrónica
37,"Pray - Chris Malinchak Mix",single,2021,Electrónica
2,Survivors,album,2021,Electrónica
8,Moth,single,2022,Electrónica
38,"Caracas Way",single,2021,Electrónica
2,"War at the Door",album,2021,Electrónica
25,Stevie,album,2022,Electrónica
4,Saku,album,2021,Electrónica
39,"Carrusel - Radio Mix",single,2022,Electrónica
31,"Innadadance (feat. Suli Breaks & Jazzie B) (Meduza Remix) (Edit)",album,2021,Electrónica
40,"The Limit",album,2021,Electrónica
3,Nefertari,single,2021,Electrónica
14,Impossible,album,2022,Electrónica
2,"This Cursed Life",album,2021,Electrónica
2,"Your Lord",album,2021,Electrónica
21,"Miss The Days",single,2022,Electrónica
25,"Send Nudes",album,2022,Electrónica
41,Sot-l'y-laisse,album,2021,Electrónica
42,"The Lonely Night - Reprise Version",album,2021,Electrónica
35,"Fagurt Er Í Fjörðum",album,2022,Electrónica
43,"El Brillo - Radio Edit",single,2021,Electrónica
6,Closer,album,2022,Electrónica
10,"Blind Date",single,2022,Electrónica
44,"The Darkness That You Fear",single,2021,Electrónica
45,"Another Girl",album,2021,Electrónica
6,"Day by Day",album,2022,Electrónica
46,"Ecce! Ego!",album,2021,Electrónica
47,"To Feel Again / Trois",single,2022,Electrónica
48,"Drifting Out",single,2021,Electrónica
15,Cicuta,album,2021,Electrónica
6,Counterpart,album,2022,Electrónica
10,"born slipping",album,2021,Electrónica
49,"Pulses of Information",album,2021,Electrónica
50,"Breathe - Juicy Cola Remix",single,2021,Electrónica
16,"Own Me",album,2021,Electrónica
26,"Quiet Corners Of My Mind",album,2022,Electrónica
35,Ovule,album,2022,Electrónica
33,"Nest - Portico Quartet Remix",single,2021,Electrónica
46,"Alichea Vella Amor",album,2021,Electrónica
2,Enchanted,album,2021,Electrónica
51,"f1 racer (ft. KUČKA)",album,2022,Electrónica
14,Me&Youphoria,album,2022,Electrónica
2,Sachi,album,2021,Electrónica
49,"World Turns",album,2022,Electrónica
27,Problems,single,2022,Electrónica
40,"Liberty Bell",album,2021,Electrónica
2,"Kurosaka Strikes!",album,2021,Electrónica
2,"Fighting Without Honor",album,2021,Electrónica
6,Sapien,album,2022,Electrónica
35,Fossora,album,2022,Electrónica
31,"I Need Someone (feat. Nathan Ball & Caleb Femi) (Yotto Remix) (Edit)",album,2021,Electrónica
2,"Your Screams",album,2021,Electrónica
52,Koko,album,2021,Electrónica
2,"Where’s the Girl?",album,2021,Electrónica
14,"If You Want Me",album,2022,Electrónica
1,"He Took Her to a Movie",album,2022,Electrónica
12,"TTHHEE PPAARRTTYY",album,2022,Electrónica
53,Swimmer,album,2022,Electrónica
42,"Natural Blues - Reprise Version",album,2021,Electrónica
10,runnersz,album,2021,Electrónica
42,"This Is Not Our World - Ce n'est pas notre monde",single,2022,Electrónica
17,Condition,album,2022,Electrónica
25,"Hard To Tell You",album,2022,Electrónica
25,"Lilys - HBO ‘Made For Love’ Cut",single,2021,Electrónica
4,X,album,2021,Electrónica
2,"War Lords",album,2021,Electrónica
14,"It Was A Good Thing",album,2022,Electrónica
11,Helpless,album,2021,Electrónica
4,"Meli (II)",single,2022,Electrónica
54,"End Of The Summer",album,2021,Electrónica
6,ATK,single,2022,Electrónica
55,"Pietre Roventi",album,2021,Electrónica
55,Sapo,single,2022,Electrónica
56,"Ass Like That",single,2021,Electrónica
52,"Karst - Vegyn Remix",single,2022,Electrónica
11,"Black Rain - Jayda G Remix",single,2021,Electrónica
32,"Dry Fantasy",album,2021,Electrónica
12,"Planisphere Part. II",single,2022,Electrónica
30,"Little Man (Tycho Remix) - Mixed",album,2022,Electrónica
2,"Mind Flight",album,2021,Electrónica
48,Frisco,single,2022,Electrónica
57,"So Far Gone",album,2021,Electrónica
58,Blask,single,2021,Electrónica
59,"Bye Bye",album,2022,Electrónica
60,"Mind Dimension - Tiësto Remix",single,2022,Electrónica
1,"Blue Jeans",album,2022,Electrónica
61,"Be with You",album,2022,Electrónica
55,"L'Architettura del Mare",album,2021,Electrónica
2,"Your Head // We Won",album,2021,Electrónica
2,"You Don’t Know",single,2022,Electrónica
12,"B.E.A.T - Instrumental",album,2022,Electrónica
62,"Stressed Out",album,2022,Electrónica
12,"Donna - Outtake",album,2022,Electrónica
2,RoBomb,album,2021,Electrónica
63,"Can Can Techno",single,2022,Electrónica
26,"The Fool",album,2022,Electrónica
25,Hips,album,2022,Electrónica
56,"TOUCH IT",single,2022,Electrónica
28,"MORE LOVE",album,2022,Electrónica
64,Tacken,album,2021,Electrónica
65,"Glory Box",compilation,2021,Electrónica
10,"pinky ring",single,2022,Electrónica
11,"My Heart Bleeds",album,2021,Electrónica
16,Isolated,album,2021,Electrónica
6,Otomo,single,2021,Electrónica
16,Wonder,album,2021,Electrónica
7,"The Look - MGMT Remix",single,2021,Electrónica
2,"The Eyes of Vengeance",album,2021,Electrónica
66,Atlanta,single,2021,Electrónica
11,Fire,album,2021,Electrónica
12,Genesis,album,2022,Electrónica
30,"Spectre (Bibio Remix) - Mixed",album,2022,Electrónica
67,Don,single,2022,Electrónica
68,Sabrosura,single,2021,Electrónica
39,Lonli,single,2021,Electrónica
11,Holy,album,2021,Electrónica
69,"As the Light Breaks In (feat. Saint Saviour) (GA25 Version)",album,2022,Electrónica
48,Stay,single,2022,Electrónica
70,"Watch Me Now (feat. Koda & VAAAL)",album,2022,Electrónica
22,Cloudy,album,2022,Electrónica
28,"EASY PREY",album,2022,Electrónica
2,"Taiko Time // Sacrifice",album,2021,Electrónica
16,"Wikid Satellites",album,2021,Electrónica
2,"Your Armour",album,2021,Electrónica
4,Waterfall,single,2022,Electrónica
2,"Consolation Prizes",album,2022,Electrónica
61,"Never Seen You Dance",album,2022,Electrónica
18,"XXX Olympiad",album,2021,Electrónica
71,Pastorcita,single,2021,Electrónica
42,"on air (4am version)",single,2022,Electrónica
13,"Time Goes",single,2022,Electrónica
72,Briefly,album,2022,Electrónica
28,"DRUM GLOW",album,2022,Electrónica
73,Down,album,2022,Electrónica
40,"I'm the Echo",album,2021,Electrónica
35,Ancestress,album,2022,Electrónica
35,Mycelia,album,2022,Electrónica
52,Karst,album,2021,Electrónica
70,"House Broken (feat. Naz Tokio)",album,2022,Electrónica
14,"The Night",album,2022,Electrónica
7,"Love Factory",album,2022,Electrónica
14,"The Ladder",album,2022,Electrónica
74,Love,single,2022,Electrónica
75,"¿Quién? - Remastered",album,2021,Electrónica
12,"Planisphere Part. I",single,2022,Electrónica
40,"The Limit",single,2021,Electrónica
11,"Come In Closer",single,2021,Electrónica
27,Vocoder,single,2022,Electrónica
10,"swag w/ kav",album,2021,Electrónica
53,"The Corner",album,2022,Electrónica
76,Entrecote,album,2022,Electrónica
77,"SKYWALKER (P.A.F.F. Remix)",single,2021,Electrónica
12,D.A.N.C.E.,album,2022,Electrónica
78,"Off Goes The Light",album,2022,Electrónica
79,"The Last Transmission",album,2022,Electrónica
12,"Planisphere Part. IV",single,2022,Electrónica
37,"Memories (Satin Jackets Remix)",single,2021,Electrónica
42,"Almost Home - Reprise Version",album,2021,Electrónica
3,UUUU,single,2022,Electrónica
14,"Speed King",album,2022,Electrónica
6,Defender,single,2022,Electrónica
25,Melting,album,2022,Electrónica
36,"Pulse At The Centre Of Being",album,2022,Electrónica
30,"Only Love - LP Giobbi Remix",single,2021,Electrónica
20,"LA FORMA DE TUS HUESOS",single,2021,Electrónica
80,"Capture Casa",album,2022,Electrónica
78,S.O.L,album,2022,Electrónica
38,"Afroking - Extended Mix",single,2021,Electrónica
32,"To The Bin My Friend, Tonight We Vacate Earth",album,2021,Electrónica
73,Eleanor,album,2022,Electrónica
25,Altar,album,2022,Electrónica
11,"Black Rain - Âme Remix",single,2022,Electrónica
81,Bird,single,2021,Electrónica
14,"Let's Get It Right",album,2022,Electrónica
12,"Planisphere Part. III",single,2022,Electrónica
59,"Mimos Son Mimos",album,2022,Electrónica
65,"Trans Fatty Acid - Kruder & Dorfmeister Remix Edit",compilation,2021,Electrónica
82,"Indian Ocean",single,2022,Electrónica
42,"The Lonely Night - Reprise Version",single,2021,Electrónica
83,"Desert Mule",album,2021,Electrónica
84,"Creep - Very 2021 Rmx",single,2021,Electrónica
29,"Sounds Of Blue",single,2021,Electrónica
14,"This Time, This Place…",album,2022,Electrónica
67,Dos,single,2022,Electrónica
16,"Breathe In",album,2021,Electrónica
43,"Deserto Rosso",single,2022,Electrónica
85,TBT,single,2022,Electrónica
4,Cazenove,album,2021,Electrónica
4,Sundial,album,2021,Electrónica
14,"This Time, This Place…",single,2022,Electrónica
33,Ultraviolet,album,2021,Electrónica
14,"Oh, Lover - Edit",single,2022,Electrónica
68,"Vamonos Canoa",single,2022,Electrónica
14,"Oh, Lover",single,2022,Electrónica
3,UUUU,album,2022,Electrónica
12,"Let There Be Light",album,2022,Electrónica
35,"Sorrowful Soil",album,2022,Electrónica
86,"Just a Candle",album,2021,Electrónica
51,"somehow she’s still here (ft. James Blake)",album,2022,Electrónica
67,"Me Gustas Tanto (feat. Sidonie)",album,2021,Electrónica
14,Unity,album,2022,Electrónica
87,"Walk on Water (David Joy's Miracle Remix)",single,2022,Electrónica
12,Phantom,album,2022,Electrónica
88,"Moment to Change",album,2021,Electrónica
89,Higher,album,2021,Electrónica
7,"It's good to be back",album,2022,Electrónica
7,"Loneliness on the run",album,2022,Electrónica
18,Grub,album,2021,Electrónica
25,Proof,album,2022,Electrónica
12,Stress,album,2022,Electrónica
51,"in your eyes (ft. slowthai and Danny Brown)",album,2022,Electrónica
42,"Porcelain - Reprise Version",album,2021,Electrónica
12,"Phantom Pt. II",album,2022,Electrónica
38,"Caracas Way",album,2022,Electrónica
1,"True Mathematics",album,2022,Electrónica
33,Monument,album,2021,Electrónica
90,"If Life Could Be This Way",single,2022,Electrónica
14,"So Ambiguous",album,2022,Electrónica
4,"Meli (I)",album,2021,Electrónica
35,"Fungal City",album,2022,Electrónica
35,Victimhood,album,2022,Electrónica
61,Crosswalk,single,2022,Electrónica
91,"Mango Feedback",single,2022,Electrónica
11,"Holy - Frank Wiedemann Remix",single,2022,Electrónica
14,"How The Flowers Grow",album,2022,Electrónica
35,Allow,album,2022,Electrónica
42,"Porcelain - Reprise Version",single,2021,Electrónica
38,Mamasota,album,2022,Electrónica
42,"Everloving - Reprise Version",album,2021,Electrónica
25,Trouble,album,2022,Electrónica
11,"Hold You Down",album,2021,Electrónica
92,"Rose rouge - Atjazz Astro Remix",album,2021,Electrónica
73,Broken,album,2022,Electrónica
30,"Only Love",single,2021,Electrónica
32,"Here We, Here We, Here We Go Forever",album,2021,Electrónica
3,"Never Alone",album,2022,Electrónica
14,"Just Wanted To Know",album,2022,Electrónica
51,"end of the road (ft. reggie)",album,2022,Electrónica
7,"Hold me tonight (feat. Porridge Radio)",album,2022,Electrónica
93,"Cuál Es Tu Núcleo",album,2021,Electrónica
51,"dvd (ft. Choker)",album,2022,Electrónica
70,"Friction (feat. Future Funk Squad & Jim Davies) - Needle Mover x TMD Remix",album,2022,Electrónica
79,"Passed Tense",single,2022,Electrónica
11,"Sweetest Revenge",album,2021,Electrónica
22,Arrow,album,2022,Electrónica
12,DVNO,album,2022,Electrónica
33,"With, Beside, Against - Hania Rani Remix",single,2021,Electrónica
94,"Rocío de La Mañana",single,2022,Electrónica
12,Newjack,album,2022,Electrónica
70,"Post Punk (feat. Iggy Pop)",single,2022,Electrónica
78,Sharratt,album,2022,Electrónica
95,Covenant,single,2022,Electrónica
71,Time,single,2022,Electrónica
96,"Like a Stone - trentemøller Remix",single,2021,Electrónica
19,Nadir,album,2021,Electrónica
95,"Plan Perfecto - Remix",single,2021,Electrónica
7,"The Look",album,2021,Electrónica
64,Rainy,album,2021,Electrónica
97,"Haute Definition",album,2021,Electrónica
48,"Drifting Out",single,2021,Electrónica
32,"Drive The Nail",album,2021,Electrónica
3,"Everyday - Shimza Remix",single,2022,Electrónica
42,"Why Does My Heart Feel So Bad - Reprise Version",album,2021,Electrónica
78,Phonograph,album,2022,Electrónica
12,"Waters of Nazareth",album,2022,Electrónica
14,"Tell Him",album,2022,Electrónica
98,"I Won't Fade Away",single,2021,Electrónica
73,"Straight To The Morning - Myd Remix",single,2021,Electrónica
78,Potion,album,2022,Electrónica
99,"Everything Up [Zizou]",album,2022,Electrónica
70,"Chemical Mentalist (feat. Wenzday)",album,2022,Electrónica
28,"DOOM HYPE",album,2022,Electrónica
22,Clavicle,album,2022,Electrónica
80,2:16,album,2022,Electrónica
22,Cherry,album,2022,Electrónica
68,"Niños de Alegria",single,2022,Electrónica
7,"Love Factory - Metronomy x Katy J Pearson",album,2022,Electrónica
100,"Ultra Truth",album,2022,Electrónica
101,Bleak,single,2022,Electrónica
35,Atopos,single,2022,Electrónica
14,"Feel It",album,2022,Electrónica
25,Champion,single,2022,Electrónica
102,"Asteroid 2467 - single version",single,2021,Electrónica
25,Stevie,single,2022,Electrónica
49,"Vision of Self",album,2022,Electrónica
103,"La Nota",single,2021,Electrónica
12,"One Minute to Midnight",album,2022,Electrónica
35,Trölla-Gabba,album,2022,Electrónica
1,"The Way That I Found You",album,2022,Electrónica
49,Beginnings,album,2022,Electrónica
35,Freefall,album,2022,Electrónica
86,"Keep It Movin",album,2021,Electrónica
104,"Odyssée - Soulwax Remix",single,2022,Electrónica
44,"Block Rockin' Beats",album,2022,Electrónica
14,Impossible,single,2022,Electrónica
86,Everybody,album,2021,Electrónica
22,"Take Two",album,2022,Electrónica
10,sparko,album,2021,Electrónica
57,Fighter,album,2021,Electrónica
4,Light,album,2021,Electrónica
102,Afterglow,single,2021,Electrónica
24,"Never Come Back - Four Tet Remix",album,2021,Electrónica
10,"layer 6",album,2021,Electrónica
13,"Changed for the Better",single,2021,Electrónica
1,Evil,album,2022,Electrónica
18,Revellers,album,2021,Electrónica
105,"The Wrong Place",single,2021,Electrónica
92,"So Flute - Ludovic Navarre Amapiano Version 2020",album,2021,Electrónica
12,Valentine,album,2022,Electrónica
106,"No More Kissing In The Rain",album,2022,Electrónica
50,"Breathe - Kid Francescoli Remix",single,2021,Electrónica
80,"Capture Casa",single,2021,Electrónica
19,Nocturne,album,2021,Electrónica
45,Promise,single,2021,Electrónica
14,Sorry,album,2022,Electrónica
14,"Stay Awhile",single,2022,Electrónica
107,C.A.,album,2022,Electrónica
10,"shiloh's revenge",single,2022,Electrónica
48,Peace,single,2022,Electrónica
108,"Chanel Maconha",album,2021,Electrónica
27,Grammar,single,2022,Electrónica
4,Rever,album,2021,Electrónica
17,"We Are (우리는)",album,2022,Electrónica
40,"Narrow Road",album,2021,Electrónica
109,"Purple Circle",single,2022,Electrónica
49,Running,album,2022,Electrónica
48,"The Other Lover - Little Dragon Vocal Celebration Mix",single,2021,Electrónica
27,"Someone Close",single,2022,Electrónica
72,"Right Right Right",album,2022,Electrónica
30,"In All The Wrong Places - Mixed",album,2022,Electrónica
10,'rraine,album,2021,Electrónica
67,"Caía la Noche",album,2021,Electrónica
73,Down,single,2022,Electrónica
13,"All Alone",single,2022,Electrónica
12,"TTHHEE PPAARRTTYY - Demo",album,2022,Electrónica
1,"Another Breakfast with You",album,2022,Electrónica
49,Echoes,single,2022,Electrónica
98,"Balada Borracha",album,2021,Electrónica
1,Paco!,album,2022,Electrónica
12,"D.A.N.C.E. - Demo",album,2022,Electrónica
14,"Denimclad Baboons",album,2022,Electrónica
1,"Light & Magic",album,2022,Electrónica
61,Crosswalk,album,2022,Electrónica
100,"Wall of Sleep",album,2022,Electrónica
14,Breathe,album,2022,Electrónica
30,"PBS (Live Edit)",single,2022,Electrónica
110,"Graf Zahl",single,2021,Electrónica
111,"Scarface - Original Mix",single,2021,Electrónica
28,"NEON RATS",album,2022,Electrónica
89,"Stay the Ride (Cast a Light)",single,2021,Electrónica
4,Glue,single,2022,Electrónica
74,"El Santo",single,2022,Electrónica
112,Gabriel,single,2022,Electrónica
17,"My Soul or Something",album,2022,Electrónica
26,"Walking In The Rain",album,2022,Electrónica
42,"Extreme Ways - Reprise Version",album,2021,Electrónica
70,"Watch Me Now (feat. Koda & VAAAL)",single,2022,Electrónica
18,"The Daisy",single,2021,Electrónica
13,"Minute by Minute",single,2022,Electrónica
113,Egoísmo,single,2021,Electrónica
32,"Fuck Off Money",album,2021,Electrónica
70,"Act Right (feat. Billy Dean Thomas & VAAAL)",album,2022,Electrónica
10,bernard?,album,2021,Electrónica
14,"Some Resolve",album,2022,Electrónica
25,Paralysed,single,2021,Electrónica
46,Mothra,album,2021,Electrónica
71,"Deep South",single,2021,Electrónica
61,"When The Lights Go",album,2022,Electrónica
32,"Pat Stains",album,2021,Electrónica
14,Control,album,2022,Electrónica
110,"Si Soy Fuego",single,2021,Electrónica
11,"Need A Lover",album,2021,Electrónica
105,"The Wrong Place",album,2021,Electrónica
29,"Oh Oh Yeah - Race Banyon Remix",single,2022,Electrónica
19,Moldau,album,2021,Electrónica
16,"Up To Us",album,2021,Electrónica
49,Frontiers,album,2022,Electrónica
114,"Ar.Mour (Rōnin Dub)",album,2021,Electrónica
115,Boletta,single,2022,Electrónica
12,D.A.N.C.E.,single,2022,Electrónica
14,"Lights Out",album,2022,Electrónica
57,"Child In The Dark",album,2021,Electrónica
57,"Tranquility Trap",album,2021,Electrónica
61,Forever,album,2022,Electrónica
42,"Natural Blues - Reprise Version / Edit",single,2021,Electrónica
40,Lawmaker,album,2021,Electrónica
42,"The Last Day - Reprise Version",album,2021,Electrónica
92,"Sure Thing (Osunlade Yoruba Soul Mix) - Radio Edit",single,2021,Electrónica
91,Watersynth,single,2022,Electrónica
24,"Sunny's Time - Logic1000 Remix",album,2021,Electrónica
30,"You Made It (Pt. 2) - Mixed",album,2022,Electrónica
73,Freakout/Release,album,2022,Electrónica
10,"w/ dad & frankie",album,2021,Electrónica
10,"froth sipping",album,2021,Electrónica
29,"The Moon - Kutiman Remix - Version A",single,2022,Electrónica
78,"Cinnamon Cinematic",album,2022,Electrónica
22,"Always There",album,2022,Electrónica
18,"Morning Sun In A Dusty Room",album,2021,Electrónica
17,Woodland,album,2022,Electrónica
108,SOUVENIR,album,2021,Electrónica
19,Solo,single,2022,Electrónica
23,"Sparrow Arc Tall",album,2022,Electrónica
116,"88 - Prometh Remix",single,2021,Electrónica
4,Hawk,album,2021,Electrónica
117,"Without You (feat. Davisax)",single,2022,Electrónica
74,"Grown & Sexy",single,2022,Electrónica
59,Anubis,album,2022,Electrónica
57,SOS,album,2021,Electrónica
118,"Tales from the Doumbek",album,2022,Electrónica
39,"Todo de Ti - Jimmix Afro Latin House Remix",single,2021,Electrónica
78,"Rain and Shine",album,2022,Electrónica
119,"Let Me Tell Ya (Outro)",album,2022,Electrónica
120,"Hold On",album,2022,Electrónica
45,"Leave Here",single,2021,Electrónica
32,"Midnight Flit",album,2021,Electrónica
98,"Macumba de Marea",album,2021,Electrónica
59,Trinchera,single,2022,Electrónica
4,Fir,album,2021,Electrónica
67,"El Arte de Recuperarte",single,2022,Electrónica
108,U.U,album,2021,Electrónica
49,Eventually,album,2022,Electrónica
7,"I lost my mind - Metronomy x Jessica Winter",album,2022,Electrónica
13,"Should be Fine",single,2021,Electrónica
70,"Post Punk (feat. Iggy Pop)",album,2022,Electrónica
4,Fir,album,2021,Electrónica
72,Hammers,album,2021,Electrónica
42,"Extreme Ways - Felsmann + Tiley Reinterpretation",album,2022,Electrónica
30,"Frogtoise - Mixed",album,2022,Electrónica
67,"El Arte de Recuperarte",single,2022,Electrónica
1,"Cracked LCD",album,2022,Electrónica
57,"No Show",album,2021,Electrónica
70,"Free Play",album,2022,Electrónica
116,4GET,album,2021,Electrónica
22,Mania,album,2022,Electrónica
67,"Un Tiempo",album,2021,Electrónica
79,"Rainbows and Dreams",album,2022,Electrónica
29,"Falling Skies",album,2021,Electrónica
41,"Waves of Devotion",album,2021,Electrónica
29,"Oh Oh Yeah",album,2021,Electrónica
14,"There, Beyond The Trees",album,2022,Electrónica
121,"Where's Your Head At - Martin Ikin Remix - Edit",album,2022,Electrónica
1,Fire,album,2022,Electrónica
29,"Sounds Of Blue (Gui Boratto Remix) - Radio Edit",single,2022,Electrónica
122,"You Hear That - Mallin Remix Edit",single,2021,Electrónica
51,"need u tonight",album,2022,Electrónica
114,"If We Don’t Make It (Rōnin Throwdown)",album,2021,Electrónica
74,"La Montaña - Original Mix",single,2022,Electrónica
123,"Belfast - Yotto Remix",single,2022,Electrónica
52,Karst,single,2021,Electrónica
72,"Sheep in Black and White",album,2022,Electrónica
29,"Killed Our Love",album,2021,Electrónica
85,"TBT (KA2SH Remix)",single,2022,Electrónica
108,"PAGA DIOS",single,2022,Electrónica
113,"Este Amor",album,2021,Electrónica
124,"To the Sun",single,2022,Electrónica
4,Apricots,single,2022,Electrónica
12,"Valentine - Demo",album,2022,Electrónica
14,"What Else Is There? - ARTBAT Remix",single,2021,Electrónica
30,"PBS (Live Edit) - Mixed",album,2022,Electrónica
50,"Breathe - Digitalism Remix",single,2021,Electrónica
107,Perspex,album,2022,Electrónica
21,GHOST,single,2022,Electrónica
46,"All I See Is You, Velvet Brown",album,2021,Electrónica
14,"Like An Old Dog",album,2022,Electrónica
22,Crimson,album,2022,Electrónica
7,"J'en ai assez vu - Metronomy x Sebastien Tellier",album,2022,Electrónica
51,"Blue Liquid",single,2021,Electrónica
44,"Setting Sun",album,2022,Electrónica
65,"Scythe Master",compilation,2022,Electrónica
125,"Me Gustas Tú",album,2022,Electrónica
19,Fjäll,single,2022,Electrónica
75,"Martín Fierro - Remastered",album,2021,Electrónica
124,"Toma Que Toma",single,2021,Electrónica
42,"The Great Escape - Reprise Version",album,2021,Electrónica
44,"The Darkness That You Fear - Edit",single,2021,Electrónica
23,Small,album,2021,Electrónica
46,"Mothra - Edit",album,2021,Electrónica
8,"New Love",single,2022,Electrónica
18,Spatter/Splatter,album,2021,Electrónica
108,"EN EL AFTER",single,2022,Electrónica
65,"Slow Cushion",compilation,2021,Electrónica
59,"La Izquierda de la Noche",single,2021,Electrónica
45,Quicksand,album,2021,Electrónica
59,Paradoja,album,2022,Electrónica
33,Youth,single,2022,Electrónica
8,"Dark Gethsemane",single,2021,Electrónica
24,"Home - Toro y Moi Remix",album,2021,Electrónica
40,"The Question Is To See It All",album,2021,Electrónica
37,"Blaze - Extended",album,2021,Electrónica
102,"Faint Lights In The Distance",album,2021,Electrónica
67,"Entre las Dos",album,2021,Electrónica
60,"Mind Dimension - Kölsch Remix",single,2022,Electrónica
49,"Now Is",album,2022,Electrónica
56,BATMAN,single,2022,Electrónica
24,"Never Come Back - Koreless Remix",album,2021,Electrónica
44,Elektrobank,album,2022,Electrónica
14,"If You Want Me",single,2022,Electrónica
45,Taurus,single,2022,Electrónica
126,Grace,album,2022,Electrónica
73,"Miss The Bliss",album,2022,Electrónica
33,Portal,album,2021,Electrónica
29,"Cut My Heart Out - Jazzanova Remix",single,2022,Electrónica
29,Namaste,album,2021,Electrónica
75,"¡Que llueva! - Remastered",album,2021,Electrónica
73,Time,album,2022,Electrónica
127,"Old Man Yells at Clouds",album,2021,Electrónica
1,Cease2xist,album,2022,Electrónica
3,"Summer - Club Mix",single,2021,Electrónica
113,Celebra,album,2021,Electrónica
78,"Lost Somewhere",album,2022,Electrónica
44,"Dig Your Own Hole",album,2022,Electrónica
111,Climax,single,2022,Electrónica
121,"Red Alert - Grant Nelson Remix - Edit",album,2022,Electrónica
97,"Friends & Foes",album,2022,Electrónica
42,"Natural Blues - Topic Remix",single,2021,Electrónica
108,"Donde Tai",album,2021,Electrónica
106,"Veil Of White",album,2022,Electrónica
4,Sundial,single,2021,Electrónica
29,"Cut My Heart Out",album,2021,Electrónica
108,"Nunca Me Atiende :(",album,2021,Electrónica
123,"Halcyon & On - Jon Hopkins Remix",single,2022,Electrónica
73,Time,album,2022,Electrónica
119,"Jhay Cortez - Tokyo (Broken Lip EDIT)",single,2022,Electrónica
44,"Where Do I Begin",album,2022,Electrónica
88,"Aye Aye Mi Mi - 12" Mix",single,2021,Electrónica
64,Minibus,album,2021,Electrónica
14,"Monument - Olof Dreijer Remix",single,2021,Electrónica
16,"3D Warrior (Hirshy Remix)",single,2022,Electrónica
49,"Not Really",single,2021,Electrónica
36,"A Model Of Reality",album,2022,Electrónica
18,"Life In A Mind",album,2021,Electrónica
